"Property","City","State","Revenue_M","State_Total_M","Actual_WS_Pct","Gravity_WS_Pct","LN_WS_Pct","Gravity_Error_pp","LN_Error_pp","NA","NA","NA"
"MGM National Harbor","Oxon Hill","MD",884.5,2051,43.12,45.52,33.96,47.63,1374.9,2.4,-9.16,4.51
"Encore Boston Harbor","Everett","MA",729.7,1132,64.47,58.3,55.06,58.39,701.7,-6.17,-9.41,-6.08
"Mohegan Sun","Uncasville","CT",722.7,1236,58.47,52.56,50.47,54.31,200.6,-5.91,-8,-4.16
"Live! Casino & Hotel","Hanover","MD",705.4,2051,34.39,25.7,25.99,23.14,663.8,-8.69,-8.4,-11.25
"Resorts World Casino NYC","Jamaica","NY",645,2646,24.37,34.84,35.69,38.75,1524.4,10.47,11.32,14.38
"Empire City Casino","Yonkers","NY",613.7,2646,23.19,20.77,23.17,23.02,901.2,-2.42,-0.02,-0.17
"Parx Casino and Racing","Bensalem","PA",598.7,3228,18.54,11.33,14.75,14.21,418.2,-7.21,-3.79,-4.33
"Wind Creek Bethlehem","Bethlehem","PA",515.8,3228,15.98,11.75,9.98,9.8,287.5,-4.23,-6,-6.18
"Foxwoods Resort Casino","Mashantucket","CT",513.3,1236,41.53,47.44,49.53,45.69,168.5,5.91,8,4.16
"Hard Rock Casino Northern Indiana","Gary","IN",419.5,2503,16.76,6.35,9.69,7.04,140.2,-10.41,-7.07,-9.72
"Rivers Casino Pittsburgh","Pittsburgh","PA",355,3228,11,5.9,6.61,7.36,215.3,-5.1,-4.39,-3.64
"Horseshoe Hammond","Hammond","IN",346.1,2503,13.82,10.43,13.36,9.5,190.3,-3.39,-0.46,-4.32
"Horseshoe Indianapolis","Shelbyville","IN",341.8,2503,13.65,10.23,12.98,10.67,213.2,-3.42,-0.67,-2.98
"Ameristar Casino St. Charles","St. Charles","MO",302.5,1905,15.88,12.23,10.69,12.24,155.6,-3.65,-5.19,-3.64
"MGM Northfield Park","Northfield","OH",285.9,2333,12.25,9.31,8.69,9.49,178.2,-2.94,-3.56,-2.76
"Hollywood Casino Columbus","Columbus","OH",263.6,2333,11.3,16.48,20.74,17.21,324.9,5.18,9.44,5.91
"JACK Cleveland Casino","Cleveland","OH",262.4,2333,11.25,10.84,9.37,10.83,203.6,-0.41,-1.88,-0.42
"MGM Springfield","Springfield","MA",259.1,1132,22.89,29,25.06,27.72,330.9,6.11,2.17,4.83
"Jake's 58","Islandia","NY",256.6,2646,9.7,15.86,12.51,14.22,554.5,6.16,2.81,4.52
"Hard Rock Cincinnati","Cincinnati","OH",251.5,2333,10.78,10.2,8.27,10.18,191.4,-0.58,-2.51,-0.6
"River City Casino","St. Louis","MO",249.5,1905,13.1,11.18,13.59,10.46,132.8,-1.92,0.49,-2.64
"Caesars Southern Indiana","Elizabeth","IN",248.2,2503,9.91,14.7,7.95,16.89,338.9,4.79,-1.96,6.98
"Harrahs Hoosier Park","Anderson","IN",245.6,2503,9.81,7.42,5.01,11.53,230.6,-2.39,-4.8,1.72
"Prairie Meadows Casino","Altoona","IA",235,1765,13.31,12.85,9.18,14.83,130.5,-0.46,-4.13,1.52
"Eldorado Scioto Downs","Columbus","OH",234.8,2333,10.06,7.07,6.26,6.38,119.5,-2.99,-3.8,-3.68
"Hollywood Casino St. Louis","Maryland Heights","MO",234.4,1905,12.3,14.05,16.8,14.01,178.4,1.75,4.5,1.71
"Resorts World Catskills","Monticello","NY",228.7,2646,8.64,6.54,5.1,4.66,180,-2.1,-3.54,-3.98
"Hollywood Casino Toledo","Toledo","OH",227.7,2333,9.76,9.96,5.97,10.5,197.4,0.2,-3.79,0.74
"Miami Valley Gaming","Lebanon","OH",224.8,2333,9.64,6.25,7.08,5.61,105,-3.39,-2.56,-4.03
"Live! Casino Philadelphia","Philadelphia","PA",222.4,3228,6.89,6.55,8.09,7.69,226.5,-0.34,1.2,0.8
"Rivers Casino Philadelphia","Philadelphia","PA",216.7,3228,6.71,6.39,7.88,7.5,220.7,-0.32,1.17,0.79
"Mohegan Sun Pocono","Wilkes-Barre","PA",215.5,3228,6.68,6.21,7.25,4.89,142.6,-0.47,0.57,-1.79
"Horseshoe Casino Council Bluffs","Council Bluffs","IA",211.1,1765,11.96,9.41,6.96,10.66,94.1,-2.55,-5,-1.3
"Horseshoe Casino Baltimore","Baltimore","MD",209.9,2051,10.23,11.11,16.15,12.62,360,0.88,5.92,2.39
"Ameristar Casino East Chicago","East Chicago","IN",205,2503,8.19,6.18,7.91,5.62,112.7,-2.01,-0.28,-2.57
"Rivers Casino & Resort Schenectady","Schenectady","NY",201.9,2646,7.63,5.88,5.62,5.17,199.8,-1.75,-2.01,-2.46
"Ameristar Casino Kansas City","Kansas City","MO",198.7,1905,10.43,7.79,7.73,8.04,102.3,-2.64,-2.7,-2.39
"Hollywood Casino at the Meadows","Washington","PA",189.5,3228,5.87,4.95,4.31,3.84,111.7,-0.92,-1.56,-2.03
"Ameristar Casino Council Bluffs","Council Bluffs","IA",187.7,1765,10.63,8.37,6.19,9.48,83.7,-2.26,-4.44,-1.15
"Mount Airy Casino Resort","Mount Pocono","PA",184.2,3228,5.71,7.68,7.07,5.34,155.7,1.97,1.36,-0.37
"Jack Thistledown","Cleveland","OH",183.2,2333,7.85,8.98,11.83,8.45,158.6,1.13,3.98,0.6
"Hollywood Casino at Penn National","Grantville","PA",180.6,3228,5.59,5.62,3.83,7.62,223,0.03,-1.76,2.03
"Argosy Casino Riverside","Riverside","MO",177.1,1905,9.3,9.33,10.01,8.39,106.3,0.03,0.71,-0.91
"Harrahs North Kansas City","North Kansas City","MO",176.8,1905,9.28,7.6,8.9,6.73,85.1,-1.68,-0.38,-2.55
"Ballys Evansville","Evansville","IN",176.6,2503,7.06,11.43,7.58,12.28,245.7,4.37,0.52,5.22
"Harrah's Philadelphia Casino & Racetrack","Chester","PA",172.9,3228,5.35,7.69,8.14,8.03,235.2,2.34,2.79,2.68
"Hollywood Casino Lawrenceburg","Lawrenceburg","IN",170.2,2503,6.8,7.56,8.32,5.97,118.7,0.76,1.52,-0.83
"del Lago Resort & Casino","Waterloo","NY",163.2,2646,6.17,2.39,1.88,1.85,70.8,-3.78,-4.29,-4.32
"Hollywood Gaming at Mahoning Valley","Youngstown","OH",159.4,2333,6.83,5.73,6.43,5.7,106.6,-1.1,-0.4,-1.13
"Hollywood Gaming at Dayton","Dayton","OH",150.9,2333,6.47,8.09,6.79,8.3,155.7,1.62,0.32,1.83
"Horseshoe St. Louis","St. Louis","MO",150.5,1905,7.9,10.68,13.26,9.9,125.7,2.78,5.36,2
"Plainridge Park Casino","Plainville","MA",143.1,1132,12.64,12.7,19.88,13.89,164.8,0.06,7.24,1.25
"Saratoga Casino Hotel","Saratoga Springs","NY",141.1,2646,5.33,3.31,3.71,2.64,101.3,-2.02,-1.62,-2.69
"Valley Forge Casino Resort","King of Prussia","PA",136,3228,4.21,15.12,12.45,12.53,368.3,10.91,8.24,8.32
"Blue Chip Casino","Michigan City","IN",133.9,2503,5.35,6.38,9.81,3.99,78.9,1.03,4.46,-1.36
"Riverside Casino and Golf Resort","Riverside","IA",129.9,1765,7.36,6.1,4.45,6.77,59.2,-1.26,-2.91,-0.59
"Ballys Kansas City","Kansas City","MO",119.9,1905,6.29,4.7,4.66,4.85,61.7,-1.59,-1.63,-1.44
"Rhythm City Casino Resort","Davenport","IA",117.6,1765,6.66,4.48,7.44,3.95,34.5,-2.18,0.78,-2.71
"Finger Lakes Gaming & Racetrack","Farmington","NY",116.5,2646,4.4,2.16,1.82,2.92,112.1,-2.24,-2.58,-1.48
"Live! Casino Pittsburgh","Pittsburgh","PA",109.9,3228,3.4,4.65,4.98,5.44,158.7,1.25,1.58,2.04
"Presque Isle Downs & Casino","Erie","PA",109,3228,3.38,2.11,2.08,2.34,67.9,-1.27,-1.3,-1.04
"Tioga Downs Casino Resort","Nichols","NY",103.3,2646,3.9,2.83,2.27,2.33,89.6,-1.07,-1.63,-1.57
"Diamond Jo Worth","Northwood","IA",102.9,1765,5.83,5.83,4.08,5.38,46.9,0,-1.75,-0.45
"Isle of Capri Casino Waterloo","Waterloo","IA",100,1765,5.67,5.97,8.69,5.99,52.3,0.3,3.02,0.32
